web-scraper-order,web-scraper-start-url,pagination,prices,address,zip_code,rooms_kvm
"1684830206-125","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.850 kr./md.","Trøjborgvej  1","8200 Aarhus N","2 rum, 65 m²"
"1684830206-126","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.600 kr./md.","Langenæs Allé","8000 Aarhus C","3 rum, 84 m²"
"1684830206-127","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.995 kr./md.","Gudrunsvej","8220 Brabrand","4 rum, 105 m²"
"1684830206-128","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.800 kr./md.","Ryhavevej","8210 Aarhus V","2 rum, 64 m²"
"1684830206-129","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.743 kr./md.","Finderupvej","8000 Aarhus C","3 rum, 74 m²"
"1684830206-130","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Vestre Ringgade","8000 Aarhus C","3 rum, 80 m²"
"1684830206-131","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.190 kr./md.","Viborgvej  3","8210 Aarhus V","3 rum, 89 m²"
"1684830206-132","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.495 kr./md.","Guldsmedgade","8000 Aarhus C","2 rum, 84 m²"
"1684830206-133","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.227 kr./md.","Kaserneboulevarden  2","8000 Aarhus C","2 rum, 52 m²"
"1684830206-134","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.300 kr./md.","Rundhøj Allé  2","8270 Højbjerg","2 rum, 41 m²"
"1684830206-135","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.500 kr./md.","Langelandsgade","8200 Aarhus N","3 rum, 87 m²"
"1684830206-136","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Kastanjehaven","8520 Lystrup","4 rum, 111 m²"
"1684830206-137","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.125 kr./md.","Vintervej","8210 Aarhus V","3 rum, 64 m²"
"1684830206-138","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Sonnesgade  1","8000 Aarhus C","2 rum, 72 m²"
"1684830206-139","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.812 kr./md.","Museumsgade  3","8000 Aarhus C","4 rum, 90 m²"
"1684830206-140","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.000 kr./md.","Grøfthøjparken  1","8260 Viby J","4 rum, 108 m²"
"1684830206-141","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.290 kr./md.","Silkeborgvej  1","8230 Åbyhøj","3 rum, 100 m²"
"1684830206-142","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.990 kr./md.","Skanderborgvej  5","8000 Aarhus C","4 rum, 114 m²"
"1684830206-143","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.500 kr./md.","Truevej  2","8220 Brabrand","5 rum, 105 m²"
"1684830206-144","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.916 kr./md.","Marselis Boulevard  1","8000 Aarhus C","4 rum, 122 m²"
"1684830206-145","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Møllegade  1","8000 Aarhus C","2 rum, 64 m²"
"1684830206-146","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.600 kr./md.","Nørre Allé  5","8000 Aarhus C","5 rum, 107 m²"
"1684830206-147","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Vester Allé  3","8000 Aarhus C","2 rum, 66 m²"
"1684830206-148","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.984 kr./md.","Jens Baggesens Vej","8200 Aarhus N","2 rum, 57 m²"
"1684830206-149","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.250 kr./md.","Sonnesgade  2","8000 Aarhus C","4 rum, 114 m²"
"1684830206-150","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.995 kr./md.","Frodesvej","8230 Åbyhøj","2 rum, 65 m²"
"1684830206-151","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.000 kr./md.","Viborgvej","8210 Aarhus V","3 rum, 120 m²"
"1684830206-152","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.000 kr./md.","Vestre Ringgade","8000 Aarhus C","2 rum, 50 m²"
"1684830206-153","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.500 kr./md.","Bangsboparken  1","8541 Skødstrup","2 rum, 75 m²"
"1684830206-154","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Vesterbrogade  2","8000 Aarhus C","2 rum, 46 m²"
"1684830206-155","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","16.900 kr./md.","Thit Jensens Gade  6","8000 Aarhus C","4 rum, 142 m²"
"1684830206-156","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.400 kr./md.","Lokesvej   2","8230 Åbyhøj","2 rum, 62 m²"
"1684830206-157","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.600 kr./md.","Otto Brandenburgs Gade","8000 Aarhus C","2 rum, 62 m²"
"1684830206-158","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.670 kr./md.","Abildhaven","8520 Lystrup","3 rum, 85 m²"
"1684830206-159","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.500 kr./md.","Vesterport  2","8000 Aarhus C","1 rum, 83 m²"
"1684830206-160","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Tove Ditlevsens Gade  1","8240 Risskov","4 rum, 93 m²"
"1684830206-161","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.380 kr./md.","Rosenkrantzgade  2","8000 Aarhus C","3 rum, 83 m²"
"1684830206-162","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Ladefogedvej","8200 Aarhus N","2 rum, 58 m²"
"1684830206-163","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.795 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-164","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.400 kr./md.","Brendstrupvej","8200 Aarhus N","3 rum, 81 m²"
"1684830206-165","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.750 kr./md.","Engtoften  1","8260 Viby J","2 rum, 52 m²"
"1684830206-166","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.950 kr./md.","Møllevangs Allé  1","8200 Aarhus N","2 rum, 56 m²"
"1684830206-167","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.422 kr./md.","Fredens Torv  3","8000 Aarhus C","4 rum, 104 m²"
"1684830206-168","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.420 kr./md.","Islandsgade  1","8200 Aarhus N","3 rum, 84 m²"
"1684830206-169","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Otte Ruds Gade  4","8200 Aarhus N","2 rum, 64 m²"
"1684830206-170","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.300 kr./md.","Kantorparken  3","8240 Risskov","2 rum, 68 m²"
"1684830206-171","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Studsgade  1","8000 Aarhus C","2 rum, 80 m²"
"1684830206-172","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.200 kr./md.","Søren Frichs Vej  1","8230 Åbyhøj","1 rum, 37 m²"
"1684830206-173","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.800 kr./md.","Otto Brandenburgs Gade  4","8000 Aarhus C","2 rum, 62 m²"
"1684830206-174","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.800 kr./md.","Lokesvej","8230 Åbyhøj","2 rum, 53 m²"
"1684830206-175","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.600 kr./md.","åparken","8000 Aarhus C","3 rum, 83 m²"
"1684830206-176","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.513 kr./md.","Sandgravvej  2","8000 Aarhus C","3 rum, 71 m²"
"1684830206-177","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.400 kr./md.","Guldsmedgade  1","8000 Aarhus C","2 rum, 66 m²"
"1684830206-178","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Lollandsgade  2","8000 Aarhus C","2 rum, 55 m²"
"1684830206-179","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.795 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-180","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.200 kr./md.","Skanderborgvej  2","8000 Aarhus C","2 rum, 73 m²"
"1684830206-181","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.500 kr./md.","Stenvej","8270 Højbjerg","4 rum, 105 m²"
"1684830206-182","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.900 kr./md.","Grenåvej","8541 Skødstrup","2 rum, 69 m²"
"1684830206-183","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 kr./md.","Carl Jensens Vej  1","8260 Viby J","4 rum, 101 m²"
"1684830206-184","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.600 kr./md.","Åhusene  6","8000 Aarhus C","3 rum, 68 m²"
"1684830206-185","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.200 kr./md.","Sønderholmvej","8361 Hasselager","4 rum, 107 m²"
"1684830206-186","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.900 kr./md.","De Mezas Vej","8000 Aarhus C","3 rum, 105 m²"
"1684830206-187","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.500 kr./md.","Åparken  2","8000 Aarhus C","2 rum, 52 m²"
"1684830206-188","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Brendstrupvej  3","8200 Aarhus N","2 rum, 60 m²"
"1684830206-189","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.984 kr./md.","Jens Baggesens Vej  1","8200 Aarhus N","2 rum, 51 m²"
"1684830206-190","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.195 kr./md.","Guldsmedgade","8000 Aarhus C","2 rum, 64 m²"
"1684830206-191","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.995 kr./md.","Engtoften  1","8260 Viby J","1 rum, 38 m²"
"1684830206-192","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.595 kr./md.","Skanderborgvej  3","8260 Viby J","2 rum, 57 m²"
"1684830206-193","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.695 kr./md.","Ellebrinken","8520 Lystrup","3 rum, 57 m²"
"1684830206-194","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.500 kr./md.","Christiansgade  1","8000 Aarhus C","3 rum, 107 m²"
"1684830206-195","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Kastanjehaven  1","8520 Lystrup","2 rum, 48 m²"
"1684830206-196","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.750 kr./md.","Markvangen  1","8260 Viby J","2 rum, 48 m²"
"1684830206-197","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.500 kr./md.","Åboulevarden  4","8000 Aarhus C","1 rum, 62 m²"
"1684830206-198","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.975 kr./md.","Ny Munkegade  4","8000 Aarhus C","3 rum, 83 m²"
"1684830206-199","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.500 kr./md.","Dr. Holsts Vej  1","8230 Åbyhøj","1 rum, 27 m²"
"1684830206-200","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.250 kr./md.","Fiskergade  4","8000 Aarhus C","3 rum, 96 m²"
"1684830206-201","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Fiskergade  2","8000 Aarhus C","2 rum, 70 m²"
"1684830206-202","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.650 kr./md.","Åbyvej  2","8230 Åbyhøj","3 rum, 85 m²"
"1684830206-203","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.775 kr./md.","Solbærhaven","8520 Lystrup","4 rum, 94 m²"
"1684830206-204","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.583 kr./md.","Havkærvej","8381 Tilst","2 rum, 54 m²"
"1684830206-205","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Skt. Anna Gade  1","8000 Aarhus C","3 rum, 90 m²"
"1684830206-206","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.000 kr./md.","Falstersgade  1","8000 Aarhus C","2 rum, 52 m²"
"1684830206-207","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Æbeløgade  1","8000 Aarhus C","2 rum, 54 m²"
"1684830206-208","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.495 kr./md.","Niels Juels Gade  3","8200 Aarhus N","2 rum, 65 m²"
"1684830206-209","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 kr./md.","Åboulevarden  6","8000 Aarhus C","3 rum, 69 m²"
"1684830206-210","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.750 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-211","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Pollenvænget  3","8381 Tilst","2 rum, 39 m²"
"1684830206-212","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","18.800 kr./md.","Silkeborgvej  2","8230 Åbyhøj","5 rum, 187 m²"
"1684830206-213","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.995 kr./md.","Trøjborgvej","8200 Aarhus N","3 rum, 70 m²"
"1684830206-214","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.400 kr./md.","Jens Baggesens Vej  1","8200 Aarhus N","2 rum, 48 m²"
"1684830206-215","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.695 kr./md.","Pollenvænget  1","8381 Tilst","3 rum, 72 m²"
"1684830206-216","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.500 kr./md.","Sonnesgade  1","8000 Aarhus C","4 rum, 86 m²"
"1684830206-217","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.900 kr./md.","Rundhøj Allé  3","8270 Højbjerg","4 rum, 129 m²"
"1684830206-218","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.450 kr./md.","Pollenvænget","8381 Tilst","2 rum, 52 m²"
"1684830206-219","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Tandrupvej  1","8462 Harlev J","3 rum, 80 m²"
"1684830206-220","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.495 kr./md.","Ladefogedvej","8200 Aarhus N","1 rum, 29 m²"
"1684830206-221","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","14.800 kr./md.","Mariane Thomsens Gade  6","8000 Aarhus C","3 rum, 88 m²"
"1684830206-222","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.995 kr./md.","Vestergade  1","8000 Aarhus C","3 rum, 91 m²"
"1684830206-223","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Lokesvej  3","8230 Åbyhøj","2 rum, 62 m²"
"1684830206-224","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Fåborggade  2","8000 Aarhus C","2 rum, 80 m²"
"1684830206-225","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.785 kr./md.","Sønder Allé  1","8000 Aarhus C","3 rum, 72 m²"
"1684830206-226","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.795 kr./md.","Vintervej","8210 Aarhus V","3 rum, 62 m²"
"1684830206-227","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.800 kr./md.","Sonnesgade  4","8000 Aarhus C","4 rum, 86 m²"
"1684830206-228","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Vintervej  1","8210 Aarhus V","1 rum, 41 m²"
"1684830206-229","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Amaliegade  2","8000 Aarhus C","2 rum, 59 m²"
"1684830206-230","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.500 kr./md.","Ålborggade  3","8000 Aarhus C","4 rum, 109 m²"
"1684830206-231","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Thunøgade  1","8000 Aarhus C","2 rum, 60 m²"
"1684830206-232","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.950 kr./md.","Fiskergade  1","8000 Aarhus C","3 rum, 86 m²"
"1684830206-233","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.250 kr./md.","Markvangen  1","8260 Viby J","2 rum, 63 m²"
"1684830206-234","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.995 kr./md.","Engskovvænget","8541 Skødstrup","4 rum, 116 m²"
"1684830206-235","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","3.300 kr./md.","Hoffmannsvej","8220 Brabrand","1 rum, 28 m²"
"1684830206-236","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Lily Brobergs Gade","8220 Brabrand","4 rum, 108 m²"
"1684830206-237","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Ingerslevvej","8361 Hasselager","4 rum, 164 m²"
"1684830206-238","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.100 kr./md.","Kantorparken  3","8240 Risskov","1 rum, 29 m²"
"1684830206-239","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Møllehatten  3","8240 Risskov","2 rum, 64 m²"
"1684830206-240","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Søndre Ringgade  2","8000 Aarhus C","2 rum, 70 m²"
"1684830206-241","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","14.397 kr./md.","Museumsgade  4","8000 Aarhus C","4 rum, 120 m²"
"1684830206-242","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.840 kr./md.","Engtoften","8260 Viby J","3 rum, 76 m²"
"1684830206-243","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Søren Frichs Vej  6","8230 Åbyhøj","2 rum, 51 m²"
"1684830206-244","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Åboulevarden  4","8000 Aarhus C","1 rum, 54 m²"
"1684830206-245","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.800 kr./md.","Åboulevarden  1","8000 Aarhus C","1 rum, 45 m²"
"1684830206-246","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.990 kr./md.","Brendstrupvej  1","8200 Aarhus N","3 rum, 76 m²"
"1684830206-247","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.100 kr./md.","Arresøvej","8240 Risskov","2 rum, 54 m²"
"1684830206-248","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Pollenvænget","8381 Tilst","3 rum, 102 m²"
"1684830206-249","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.950 kr./md.","Sonnesgade  3","8000 Aarhus C","4 rum, 114 m²"
"1684830206-250","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.975 kr./md.","Thorvaldsensgade  3","8000 Aarhus C","3 rum, 99 m²"
"1684830206-251","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Ellebrinken  1","8520 Lystrup","2 rum, 60 m²"
"1684830206-252","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Ellebrinken  1","8520 Lystrup","2 rum, 60 m²"
