web-scraper-order,price,address,kvm,rooms
1684834100-274,"9.800,- pr. mdr.","Kværnloftet, Risskov",82 m²,3 vær.
1684834100-275,"10.337,- pr. mdr.","Skanderborgvej, Århus C",95 m²,4 vær.
1684834100-276,"7.500,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-277,"8.600,- pr. mdr.","Arresøvej, Risskov",75 m²,3 vær.
1684834100-278,"6.700,- pr. mdr.","Vester Allé, Århus C",50 m²,1 vær.
1684834100-279,"10.800,- pr. mdr.","Broloftet, Risskov",93 m²,3 vær.
1684834100-280,"9.995,- pr. mdr.","Kristine Nielsens Gade, Århus C",65 m²,1 vær.
1684834100-281,"6.650,- pr. mdr.","Vestre Strandallé, Risskov",48 m²,1 vær.
1684834100-282,"10.400,- pr. mdr.","Kongevellen, Risskov",75 m²,3 vær.
1684834100-283,"9.500,- pr. mdr.","Thorvaldsensgade, Århus C",67 m²,2 vær.
1684834100-284,"12.495,- pr. mdr.","Telefonsmøgen, Århus C",87 m²,3 vær.
1684834100-285,"9.595,- pr. mdr.","Forteledet, Risskov",77 m²,3 vær.
1684834100-286,"12.750,- pr. mdr.","Forteledet, Risskov",103 m²,4 vær.
1684834100-287,"7.495,- pr. mdr.","Borresøvej, Risskov",58 m²,2 vær.
1684834100-288,"11.395,- pr. mdr.","Viby Torv, Viby J",101 m²,4 vær.
1684834100-289,"8.795,- pr. mdr.","Viby Torv, Viby J",77 m²,2 vær.
1684834100-290,"5.595,- pr. mdr.","Møllevangen, Tranbjerg J",470 m²,2 vær.
1684834100-291,"9.800,- pr. mdr.","Christian X's Vej, Viby J",88 m²,3 vær.
1684834100-292,"7.995,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-293,"7.995,- pr. mdr.","Møllehatten, Risskov",59 m²,2 vær.
1684834100-294,"7.895,- pr. mdr.","Møllehatten, Risskov",64 m²,2 vær.
1684834100-295,"8.495,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-296,"10.495,- pr. mdr.","Grete Løchtes Gade, Århus C",68 m²,3 vær.
1684834100-297,"7.500,- pr. mdr.","Arresøvej, Risskov",54 m²,2 vær.
1684834100-298,"7.500,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-299,"7.400,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-300,"5.900,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-301,"9.050,- pr. mdr.","Dannebrogsgade, Århus C",69 m²,2 vær.
1684834100-302,"9.195,- pr. mdr.","Borresøvej, Risskov",88 m²,3 vær.
1684834100-303,"7.950,- pr. mdr.","Arresøvej, Risskov",69 m²,3 vær.
1684834100-304,"9.200,- pr. mdr.","Sonnesgade, Århus C",59 m²,2 vær.
1684834100-305,"7.900,- pr. mdr.","Kongevellen, Risskov",57 m²,2 vær.
1684834100-306,"12.960,- pr. mdr.","Tommy Seebachs Gade, Århus C",112 m²,3 vær.
1684834100-307,"11.225,- pr. mdr.","Ceresbyen, Århus C",76 m²,2 vær.
1684834100-308,"9.800,- pr. mdr.","Trøjborgvej, Århus N",64 m²,3 vær.
1684834100-309,"7.995,- pr. mdr.","Møllehatten, Risskov",64 m²,2 vær.
1684834100-310,"14.825,- pr. mdr.","Søren Frichs Vej, Århus C",99 m²,4 vær.
1684834100-311,"15.600,- pr. mdr.","Guldsmedgade, Århus C",129 m²,3 vær.
1684834100-312,"11.840,- pr. mdr.","John Mogensens Gade, Århus C",82 m²,3 vær.
1684834100-313,"12.200,- pr. mdr.","Dagmar Petersens Gade, Århus C",80 m²,2 vær.
1684834100-314,"5.400,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-315,"7.895,- pr. mdr.","Møllehatten, Risskov",64 m²,2 vær.
1684834100-316,"11.380,- pr. mdr.","Helle Virkners Plads, Århus C",84 m²,3 vær.
1684834100-317,"7.300,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-318,"12.900,- pr. mdr.","Ryhavevej, Århus V",118 m²,4 vær.
1684834100-319,"7.500,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-320,"7.500,- pr. mdr.","Kongevellen, Risskov",48 m²,2 vær.
1684834100-321,"7.400,- pr. mdr.","Kongevellen, Risskov",48 m²,2 vær.
1684834100-322,"9.195,- pr. mdr.","Guldsmedgade, Århus C",64 m²,2 vær.
1684834100-323,"8.595,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-324,"8.300,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-325,"8.395,- pr. mdr.","Møllehatten, Risskov",65 m²,2 vær.
1684834100-326,"9.900,- pr. mdr.","Trøjborgvej, Århus N",65 m²,3 vær.
1684834100-327,"10.190,- pr. mdr.","Rødbedevej, Århus N",88 m²,4 vær.
1684834100-328,"14.180,- pr. mdr.","Tommy Seebachs Gade, Århus C",113 m²,4 vær.
1684834100-329,"8.300,- pr. mdr.","Arresøvej, Risskov",64 m²,3 vær.
1684834100-330,"11.570,- pr. mdr.","Helle Virkners Plads, Århus C",83 m²,3 vær.
1684834100-331,"6.995,- pr. mdr.","Engtoften, Viby J",56 m²,2 vær.
1684834100-332,"5.900,- pr. mdr.","Kongevellen, Risskov",37 m²,1 vær.
1684834100-333,"9.200,- pr. mdr.","Klokkerbakken, Århus V",72 m²,3 vær.
1684834100-334,"9.295,- pr. mdr.","Borresøvej, Risskov",93 m²,3 vær.
1684834100-335,"7.500,- pr. mdr.","Arresøvej, Risskov",54 m²,2 vær.
1684834100-336,"11.100,- pr. mdr.","Sifsgade, Åbyhøj",88 m²,4 vær.
1684834100-337,"10.458,- pr. mdr.","Engholms Alle, Risskov",89 m²,3 vær.
1684834100-338,"18.300,- pr. mdr.","Kristine Nielsens Gade, Århus C",98 m²,2 vær.
1684834100-339,"10.970,- pr. mdr.","Helle Virkners Plads, Århus C",82 m²,3 vær.
1684834100-340,"8.095,- pr. mdr.","Møllehatten, Risskov",67 m²,2 vær.
1684834100-341,"9.300,- pr. mdr.","Kongevellen, Risskov",68 m²,3 vær.
1684834100-342,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-343,"14.970,- pr. mdr.","John Mogensens Gade, Århus C",119 m²,4 vær.
1684834100-344,"7.200,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-345,"8.300,- pr. mdr.","Arresøvej, Risskov",65 m²,3 vær.
1684834100-346,"10.970,- pr. mdr.","Tommy Seebachs Gade, Århus C",81 m²,3 vær.
1684834100-347,"6.750,- pr. mdr.","Nordlandsvej, Risskov",470 m²,2 vær.
1684834100-348,"12.600,- pr. mdr.","Kværnloftet, Risskov",114 m²,4 vær.
1684834100-349,"8.950,- pr. mdr.","Engtoften, Viby J",76 m²,3 vær.
1684834100-350,"9.880,- pr. mdr.","Lokesvej, Åbyhøj",78 m²,2 vær.
1684834100-351,"9.300,- pr. mdr.","Fiskergade, Århus C",69 m²,2 vær.
1684834100-352,"9.200,- pr. mdr.","Peter Sabroes Gade, Århus C",64 m²,2 vær.
1684834100-353,"7.500,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-354,"7.300,- pr. mdr.","Kongevellen, Risskov",49 m²,2 vær.
1684834100-355,"13.800,- pr. mdr.","Sonnesgade, Århus C",86 m²,4 vær.
1684834100-356,"8.395,- pr. mdr.","Møllehatten, Risskov",65 m²,2 vær.
1684834100-357,"9.795,- pr. mdr.","Møllehatten, Risskov",97 m²,3 vær.
1684834100-358,"7.600,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-359,"15.350,- pr. mdr.","Sonnesgade, Århus C",106 m²,4 vær.
1684834100-360,"7.400,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-361,"5.500,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-362,"9.400,- pr. mdr.","Kongevellen, Risskov",68 m²,3 vær.
1684834100-363,"14.960,- pr. mdr.","Helle Virkners Plads, Århus C",120 m²,4 vær.
1684834100-364,"14.620,- pr. mdr.","Tommy Seebachs Gade, Århus C",118 m²,4 vær.
1684834100-365,"8.400,- pr. mdr.","Lokesvej, Åbyhøj",62 m²,2 vær.
1684834100-366,"6.695,- pr. mdr.","Vintervej, Århus V",52 m²,2 vær.
1684834100-367,"8.395,- pr. mdr.","Møllehatten, Risskov",68 m²,2 vær.
1684834100-368,"13.995,- pr. mdr.","Kristine Nielsens Gade, Århus C",93 m²,2 vær.
1684834100-369,"10.295,- pr. mdr.","Møllehatten, Risskov",97 m²,3 vær.
1684834100-370,"7.200,- pr. mdr.","Kongevellen, Risskov",46 m²,2 vær.
1684834100-371,"7.600,- pr. mdr.","Vesterport, Århus C",53 m²,1 vær.
1684834100-372,"8.600,- pr. mdr.","Lokesvej, Åbyhøj",61 m²,2 vær.
1684834100-373,"8.500,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-374,"8.800,- pr. mdr.","Kværnloftet, Risskov",78 m²,2 vær.
1684834100-375,"8.300,- pr. mdr.","Arresøvej, Risskov",65 m²,3 vær.
1684834100-376,"7.595,- pr. mdr.","Møllehatten, Risskov",50 m²,2 vær.
1684834100-377,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-378,"7.500,- pr. mdr.","Arresøvej, Risskov",54 m²,2 vær.
1684834100-379,"13.560,- pr. mdr.","Tommy Seebachs Gade, Århus C",97 m²,4 vær.
1684834100-380,"7.300,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-381,"12.180,- pr. mdr.","John Mogensens Gade, Århus C",86 m²,3 vær.
1684834100-382,"6.700,- pr. mdr.","Kongevellen, Risskov",43 m²,2 vær.
1684834100-383,"10.300,- pr. mdr.","Peter Sabroes Gade, Århus C",64 m²,2 vær.
1684834100-384,"8.500,- pr. mdr.","Lokesvej, Åbyhøj",62 m²,2 vær.
1684834100-385,"7.600,- pr. mdr.","Kongevellen, Risskov",51 m²,2 vær.
1684834100-386,"8.235,- pr. mdr.","Dagmar Hansens Gade, Risskov",62 m²,3 vær.
1684834100-387,"10.600,- pr. mdr.","Klokkerbakken, Århus V",98 m²,2 vær.
1684834100-388,"7.400,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-389,"5.500,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-390,"14.630,- pr. mdr.","Tommy Seebachs Gade, Århus C",117 m²,4 vær.
1684834100-391,"8.600,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-392,"7.300,- pr. mdr.","Arresøvej, Risskov",53 m²,2 vær.
1684834100-393,"12.050,- pr. mdr.","Fiskergade, Århus C",86 m²,3 vær.
1684834100-394,"15.700,- pr. mdr.","Bestlasgade, Åbyhøj",131 m²,4 vær.
1684834100-395,"8.800,- pr. mdr.","Arresøvej, Risskov",68 m²,3 vær.
1684834100-396,"14.975,- pr. mdr.","Ryesgade, Århus C",133 m²,4 vær.
1684834100-397,"12.130,- pr. mdr.","John Mogensens Gade, Århus C",85 m²,3 vær.
1684834100-398,"8.300,- pr. mdr.","Arresøvej, Risskov",68 m²,3 vær.
1684834100-399,"10.695,- pr. mdr.","Ellen Jensens Gade, Risskov",91 m²,3 vær.
1684834100-400,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-401,"10.371,- pr. mdr.","Broloftet, Risskov",93 m²,3 vær.
1684834100-402,"9.500,- pr. mdr.","Kongevellen, Risskov",68 m²,2 vær.
1684834100-403,"13.400,- pr. mdr.","Tommy Seebachs Gade, Århus C",97 m²,4 vær.
1684834100-404,"7.200,- pr. mdr.","Kongevellen, Risskov",48 m²,2 vær.
1684834100-405,"13.350,- pr. mdr.","Søren Frichs Vej, Århus C",87 m²,3 vær.
1684834100-406,"9.464,- pr. mdr.","Bifrostgade, Åbyhøj",71 m²,2 vær.
1684834100-407,"14.720,- pr. mdr.","Tommy Seebachs Gade, Århus C",117 m²,4 vær.
1684834100-408,"7.995,- pr. mdr.","Møllehatten, Risskov",65 m²,2 vær.
1684834100-409,"6.700,- pr. mdr.","Kongevellen, Risskov",44 m²,2 vær.
1684834100-410,"8.700,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-411,"9.100,- pr. mdr.","Hammershusvej, Århus V",97 m²,3 vær.
1684834100-412,"11.450,- pr. mdr.","Søren Frichs Vej, Åbyhøj",105 m²,4 vær.
1684834100-413,"7.150,- pr. mdr.","Paradisgade, Århus C",41 m²,1 vær.
1684834100-414,"9.195,- pr. mdr.","Borresøvej, Risskov",94 m²,3 vær.
1684834100-415,"11.930,- pr. mdr.","John Mogensens Gade, Århus C",84 m²,3 vær.
1684834100-416,"8.300,- pr. mdr.","Arresøvej, Risskov",68 m²,3 vær.
1684834100-417,"14.900,- pr. mdr.","Østergade, Århus C",106 m²,4 vær.
1684834100-418,"8.950,- pr. mdr.","Dagmar Hansens Gade, Risskov",77 m²,3 vær.
1684834100-419,"7.995,- pr. mdr.","Doris Kæraas Gade, Risskov",62 m²,3 vær.
1684834100-420,"9.500,- pr. mdr.","Vesterport, Århus C",82 m²,2 vær.
1684834100-421,"5.600,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-422,"7.695,- pr. mdr.","Borresøvej, Åbyhøj",550 m²,2 vær.
1684834100-423,"14.590,- pr. mdr.","Tommy Seebachs Gade, Århus C",102 m²,4 vær.
1684834100-424,"11.995,- pr. mdr.","Emiliedalen, Højbjerg",104 m²,3 vær.
1684834100-425,"9.100,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-426,"7.300,- pr. mdr.","Kongevellen, Risskov",48 m²,2 vær.
1684834100-427,"11.860,- pr. mdr.","Tommy Seebachs Gade, Århus C",84 m²,3 vær.
1684834100-428,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-429,"8.095,- pr. mdr.","Møllehatten, Risskov",69 m²,2 vær.
1684834100-430,"7.600,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-431,"9.500,- pr. mdr.","Kongevellen, Risskov",68 m²,3 vær.
1684834100-432,"10.595,- pr. mdr.","Ellen Jensens Gade, Risskov",88 m²,3 vær.
1684834100-433,"7.400,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-434,"15.180,- pr. mdr.","Sonnesgade, Århus C",114 m²,4 vær.
1684834100-435,"11.930,- pr. mdr.","John Mogensens Gade, Århus C",84 m²,3 vær.
1684834100-436,"8.800,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-437,"13.148,- pr. mdr.","Vesterbro Torv, Århus C",101 m²,3 vær.
1684834100-438,"6.900,- pr. mdr.","Borresøvej, Risskov",55 m²,2 vær.
1684834100-439,"10.800,- pr. mdr.","Thorvaldsensgade, Århus C",66 m²,3 vær.
1684834100-440,"8.300,- pr. mdr.","Arresøvej, Risskov",69 m²,3 vær.
1684834100-441,"8.150,- pr. mdr.","Lilli Andersens Gade, Risskov",62 m²,3 vær.
1684834100-442,"12.995,- pr. mdr.","Sonnesgade, Århus C",85 m²,4 vær.
1684834100-443,"6.770,- pr. mdr.","Nordlandsvej, Risskov",53 m²,2 vær.
1684834100-444,"13.720,- pr. mdr.","Tommy Seebachs Gade, Århus C",97 m²,4 vær.
1684834100-445,"7.495,- pr. mdr.","Borresøvej, Risskov",58 m²,2 vær.
1684834100-446,"5.895,- pr. mdr.","Oddervej, Højbjerg",45 m²,1 vær.
1684834100-447,"7.300,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-448,"14.210,- pr. mdr.","John Mogensens Gade, Århus C",110 m²,4 vær.
1684834100-449,"7.600,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-450,"6.900,- pr. mdr.","Kongevellen, Risskov",46 m²,2 vær.
1684834100-451,"9.495,- pr. mdr.","Dirch Passers Gade, Århus C",61 m²,2 vær.
1684834100-452,"12.595,- pr. mdr.","Sonnesgade, Århus C",85 m²,4 vær.
1684834100-453,"11.980,- pr. mdr.","Tommy Seebachs Gade, Århus C",85 m²,3 vær.
1684834100-454,"7.500,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-455,"7.100,- pr. mdr.","Doris Kæraas Gade, Risskov",54 m²,2 vær.
1684834100-456,"7.500,- pr. mdr.","Kongevellen, Risskov",49 m²,2 vær.
1684834100-457,"8.300,- pr. mdr.","Arresøvej, Risskov",65 m²,3 vær.
1684834100-458,"11.000,- pr. mdr.","Dagmar Petersens Gade, Århus C",71 m²,2 vær.
1684834100-459,"9.395,- pr. mdr.","Borresøvej, Risskov",88 m²,3 vær.
1684834100-460,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-461,"6.500,- pr. mdr.","Ringen, Århus N",57 m²,1 vær.
1684834100-462,"11.700,- pr. mdr.","Dagmar Petersens Gade, Århus C",74 m²,2 vær.
1684834100-463,"11.500,- pr. mdr.","Strandparken, Århus C",74 m²,1 vær.
1684834100-464,"8.895,- pr. mdr.","Paludan Müllers Vej, Århus V",81 m²,2 vær.
1684834100-465,"9.900,- pr. mdr.","Vesterport, Århus C",72 m²,3 vær.
1684834100-466,"6.750,- pr. mdr.","Engtoften, Viby J",52 m²,2 vær.
1684834100-467,"14.620,- pr. mdr.","John Mogensens Gade, Århus C",118 m²,4 vær.
1684834100-468,"9.500,- pr. mdr.","Sonnesgade, Århus C",59 m²,2 vær.
1684834100-469,"7.200,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-470,"10.600,- pr. mdr.","Ceresbyen, Århus C",72 m²,2 vær.
1684834100-471,"12.500,- pr. mdr.","Kværnloftet, Risskov",116 m²,3 vær.
1684834100-472,"12.110,- pr. mdr.","Tommy Seebachs Gade, Århus C",86 m²,3 vær.
1684834100-473,"7.100,- pr. mdr.","Kongevellen, Risskov",49 m²,2 vær.
1684834100-474,"13.900,- pr. mdr.","Kirkegårdsvej, Århus C",91 m²,2 vær.
1684834100-475,"9.600,- pr. mdr.","Kongevellen, Risskov",68 m²,3 vær.
1684834100-476,"8.900,- pr. mdr.","Kongevellen, Risskov",64 m²,2 vær.
1684834100-477,"9.395,- pr. mdr.","Søren Frichs Vej, Århus C",68 m²,2 vær.
1684834100-478,"6.775,- pr. mdr.","Nordlandsvej, Risskov",53 m²,2 vær.
1684834100-479,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-480,"9.795,- pr. mdr.","Tove Ditlevsens Gade, Risskov",93 m²,4 vær.
1684834100-481,"5.700,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-482,"10.250,- pr. mdr.","Grete Løchtes Gade, Århus C",66 m²,3 vær.
1684834100-483,"8.695,- pr. mdr.","Oddervej, Højbjerg",69 m²,2 vær.
1684834100-484,"9.600,- pr. mdr.","Ceresbyen, Århus C",65 m²,2 vær.
1684834100-485,"10.600,- pr. mdr.","Thorvaldsensgade, Århus C",66 m²,3 vær.
1684834100-486,"11.950,- pr. mdr.","Fiskergade, Århus C",86 m²,3 vær.
1684834100-487,"9.672,- pr. mdr.","Bifrostgade, Åbyhøj",71 m²,3 vær.
1684834100-488,"15.500,- pr. mdr.","Thit Jensens Gade, Århus C",111 m²,5 vær.
1684834100-489,"14.280,- pr. mdr.","John Mogensens Gade, Århus C",113 m²,4 vær.
1684834100-490,"9.214,- pr. mdr.","Østergade, Århus C",56 m²,3 vær.
1684834100-491,"13.270,- pr. mdr.","Tommy Seebachs Gade, Århus C",96 m²,4 vær.
1684834100-492,"14.550,- pr. mdr.","Gustav Holms Vej, Århus N",128 m²,4 vær.
1684834100-493,"11.200,- pr. mdr.","Broloftet, Risskov",99 m²,4 vær.
1684834100-494,"5.100,- pr. mdr.","Christian X's Vej, Viby J",27 m²,1 vær.
1684834100-495,"10.600,- pr. mdr.","Thorvaldsensgade, Århus C",66 m²,3 vær.
1684834100-496,"8.800,- pr. mdr.","Vikærsvej, Risskov",80 m²,3 vær.
1684834100-497,"7.200,- pr. mdr.","Kongevellen, Risskov",49 m²,2 vær.
1684834100-498,"12.792,- pr. mdr.","Bestlasgade, Åbyhøj",101 m²,4 vær.
1684834100-499,"7.600,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-500,"8.095,- pr. mdr.","Møllehatten, Risskov",67 m²,2 vær.
1684834100-501,"8.495,- pr. mdr.","Søren Frichs Vej, Århus C",57 m²,2 vær.
1684834100-502,"9.000,- pr. mdr.","Kongevellen, Risskov",64 m²,3 vær.
1684834100-503,"13.550,- pr. mdr.","Sonnesgade, Århus C",87 m²,4 vær.
1684834100-504,"7.100,- pr. mdr.","Arresøvej, Risskov",54 m²,2 vær.
1684834100-505,"15.250,- pr. mdr.","Sonnesgade, Århus C",114 m²,4 vær.
1684834100-506,"7.300,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-507,"9.360,- pr. mdr.","Bifrostgade, Åbyhøj",71 m²,2 vær.
1684834100-508,"8.595,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-509,"15.500,- pr. mdr.","Thomas Koppels Gade, Århus C",119 m²,4 vær.
1684834100-510,"10.700,- pr. mdr.","Thorvaldsensgade, Århus C",66 m²,3 vær.
1684834100-511,"5.700,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-512,"7.400,- pr. mdr.","Kongevellen, Risskov",46 m²,2 vær.
1684834100-513,"7.500,- pr. mdr.","Kongevellen, Risskov",49 m²,2 vær.
1684834100-514,"18.500,- pr. mdr.","Dagmar Petersens Gade, Århus C",95 m²,2 vær.
1684834100-515,"13.190,- pr. mdr.","Tommy Seebachs Gade, Århus C",96 m²,4 vær.
1684834100-516,"9.100,- pr. mdr.","Vikærsvej, Risskov",73 m²,3 vær.
1684834100-517,"5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj",34 m²,1 vær.
1684834100-518,"9.395,- pr. mdr.","Østergade, Århus C",56 m²,2 vær.
1684834100-519,"7.700,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-520,"14.840,- pr. mdr.","Tommy Seebachs Gade, Århus C",119 m²,4 vær.
1684834100-521,"5.100,- pr. mdr.","Christian X's Vej, Viby J",30 m²,1 vær.
1684834100-522,"10.995,- pr. mdr.","Møllehatten, Risskov",85 m²,4 vær.
1684834100-523,"13.300,- pr. mdr.","Sonnesgade, Århus C",86 m²,4 vær.
1684834100-524,"11.550,- pr. mdr.","Thomas Koppels Gade, Århus C",94 m²,3 vær.
1684834100-525,"13.295,- pr. mdr.","Sdr. Ringgade, Århus C",98 m²,3 vær.
1684834100-526,"7.400,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-527,"8.185,- pr. mdr.","Brassøvej, Risskov",67 m²,3 vær.
1684834100-528,"13.240,- pr. mdr.","Thomas Koppels Gade, Århus C",96 m²,4 vær.
1684834100-529,"4.875,- pr. mdr.","Emiliedalsvej, Højbjerg",38 m²,1 vær.
1684834100-530,"8.095,- pr. mdr.","Møllehatten, Risskov",68 m²,2 vær.
1684834100-531,"13.800,- pr. mdr.","Sonnesgade, Århus C",86 m²,4 vær.
1684834100-532,"13.231,- pr. mdr.","Sifsgade, Åbyhøj",112 m²,4 vær.
1684834100-533,"8.200,- pr. mdr.","Lokesvej, Åbyhøj",53 m²,2 vær.
1684834100-534,"7.500,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-535,"7.995,- pr. mdr.","Dagmar Hansens Gade, Risskov",64 m²,3 vær.
1684834100-536,"14.180,- pr. mdr.","Tommy Seebachs Gade, Århus C",101 m²,4 vær.
1684834100-537,"8.895,- pr. mdr.","Møllehatten, Risskov",83 m²,2 vær.
1684834100-538,"6.700,- pr. mdr.","Søren Frichs Vej, Åbyhøj",40 m²,1 vær.
1684834100-539,"11.648,- pr. mdr.","Søren Frichs Vej, Århus C",82 m²,3 vær.
1684834100-540,"8.450,- pr. mdr.","Møllehatten, Risskov",65 m²,2 vær.
1684834100-541,"11.630,- pr. mdr.","Thomas Koppels Gade, Århus C",94 m²,3 vær.
1684834100-542,"8.695,- pr. mdr.","Skovvejen, Århus C",67 m²,2 vær.
1684834100-543,"18.000,- pr. mdr.","Sønder Allé, Århus C",153 m²,3 vær.
1684834100-544,"11.500,- pr. mdr.","Vikærsvej, Risskov",104 m²,4 vær.
1684834100-545,"9.700,- pr. mdr.","Kongevellen, Risskov",68 m²,2 vær.
1684834100-546,"8.295,- pr. mdr.","Møllehatten, Risskov",68 m²,2 vær.
